mun,duty02,duty13,inc02,edu02,edu10,grossalary13,occinc13,frstsourcinc13,edu13,prov
1501,16.0596440695,5.9778492851,0.835299956936,7.4454185675,5.39095599182,1.15394583621,1.14608408722,0.513326933793,5.68292682927,15
1503,12.6788319034,1.3977653112,0.761157097412,7.04077211196,4.76677071747,1.65432843692,1.7630889868,23.3332834982,6.41071428571,15
1506,5.28378378378,1.09416520979,0.771389861887,6.54899957192,5.16476149796,1.06114829099,1.0467920217,0.780594514758,6.94230769231,15
1601,9.0,3.52531468532,1.30417371595,7.1203271028,4.25716945996,1.00434028049,0.994032033967,0.388529248616,5.28571428571,16
1701,14.1339128301,2.64009019371,0.78476972983,7.40288635427,4.49540125349,1.09355458784,1.02309803328,0.260275625438,7.26136363636,17
1702,20.0,11.25,0.743308615442,6.66139042937,1.92211603284,1.24518241887,1.27167960115,0.411332905831,7.93103448276,17
1801,12.1751311093,3.14481886209,1.14399709142,8.99534486072,7.23205154809,1.41903973608,1.36681667562,1.11810149924,8.88188976378,18
1804,20.0,10.2348484848,0.76837568969,7.55082500804,6.50394963211,1.00997748004,0.982885058325,0.721511595134,11.1304347826,18
1807,20.7352421108,8.1182009403,1.11787221552,7.84170732008,6.72062401416,0.806132892854,0.8268714111,0.72696159899,10.84,18
1901,18.814690047,0.892531855995,1.00832556308,9.29745055256,7.41215850857,1.08524851715,1.15618550221,7.43657151608,9.59259259259,19
1902,3.0,1.68,0.694256214958,8.41160132341,6.43940945838,1.22422510897,1.2354585909,0.6765544956,6.44444444444,19
1903,17.0,6.83712121212,0.833651214403,8.60672458172,6.49551179987,1.21658860768,1.19364083888,0.448048882759,7.0,19
2001,11.2962962963,5.69254856255,0.90741571477,7.70765027322,6.45224425887,1.55936514307,1.53702428919,0.457454033585,6.01315789474,20
2003,3.77272727273,0.511363636364,0.879159598036,7.33011363636,6.72245467225,1.5277789281,1.51159982646,0.379951349418,8.23529411765,20
2101,11.8468733985,2.11320872648,1.34130659002,9.4540748163,7.20613407525,1.48576666729,1.4800926364,0.731857302319,9.07423580786,21
2103,7.13570362672,1.55646344777,1.17395949267,9.25943396226,7.33345077512,1.39493095364,1.36956499472,0.66961242903,9.49618320611,21
2105,16.8792988868,3.50221099533,0.901412532504,7.72813852814,6.35042956599,1.26061690837,1.25633419074,0.685731141047,8.76470588235,21
2107,6.59444843209,1.19808456722,0.826058064572,7.9988372093,6.59337349398,1.03549770793,1.08547144992,0.563086643149,7.77142857143,21
2201,19.2666666667,9.9014951317,0.962895719776,8.21525809574,5.63558367512,1.15093223995,1.1022271837,2.00344352311,8.0875,22
2301,13.9021418799,1.43863655881,1.22352337085,8.92771322947,7.72448060526,1.18148149611,1.17687293738,0.517988897771,9.04306220096,23
2304,3.0,1.68,0.868713085526,7.77404718693,6.9104040404,1.31902650669,1.30585585789,0.256277302712,9.09375,23
2401,14.1512782603,2.45766891696,1.0834433812,9.2182952183,6.78362248439,1.72416487737,1.73139047896,1.28461463639,9.16363636364,24
2403,5.18503118503,1.00999865519,0.929524993424,9.01104100946,7.4574270557,1.00631023856,0.99989015665,0.583756991176,7.14285714286,24
2501,13.8191978804,3.08814083864,1.33933817219,9.46394085697,7.62777987184,1.68683875194,1.71189411892,1.72279257727,9.40961098398,25
2502,15.9241984586,4.86049339654,0.792689324717,7.67682119205,6.31386542383,0.914398469365,0.951328228311,0.221500496553,6.0,25
2505,8.53645832812,0.0,0.777592942362,6.64705882353,5.3897080292,2.09923133973,1.8609593121,0.898088979447,8.20833333333,25
2506,18.5,6.06279137529,0.956103943463,7.4211409396,6.35305623472,1.45374883392,1.45197051849,1.00698996312,7.67857142857,25
2507,19.0,7.68560606061,0.872417156242,7.8041958042,6.46791747888,1.3809658989,1.37024584978,0.4579350251,6.97058823529,25
2601,8.32034170285,3.68660664463,0.913203246931,8.33843797856,6.14027220933,1.10243363517,1.08792239519,0.716071222454,9.34567901235,26
2603,12.125,3.88904064685,0.913203246931,8.33843797856,6.14027220933,1.84678646025,1.81846608308,0.799314898048,9.31578947368,26
2701,11.9561884139,1.85973490906,1.11448441295,8.51100377462,4.86803300939,1.14295263073,1.13596617212,0.74471033082,7.24137931034,27
2702,17.9454177196,0.0952795110075,0.818001389276,7.38426818213,4.51788553891,1.2486253552,1.22562026676,0.734683724948,7.53383458647,27
2703,5.28378378378,1.09416520979,0.762538586003,6.41703719827,2.35380306067,1.39792078246,1.39326199419,5.3743453368,8.09677419355,27
2801,15.5105876499,1.61366287993,1.42968505093,8.95330630793,6.76467742968,1.48053508069,1.52077034434,3.30077345436,9.16891891892,28
2802,5.41047297297,0.439800954254,0.856576461834,8.50915371072,5.2990057428,1.25587515265,1.30718040834,0.963243338828,10.0434782609,28
2901,17.5913365342,9.65129844145,1.63092460833,7.66156072366,5.69943917049,1.93414782428,2.04405368419,0.670394234049,7.0,29
3001,14.1553867901,1.47099547234,1.1129498623,8.12219551282,6.32546221865,0.906383513734,0.917563153383,0.452711793733,7.23255813953,30
3002,4.0,0.0,0.721866934953,6.02226720648,5.71807711567,1.08152581577,1.10337478764,0.41925509902,2.66666666667,30
3101,20.0,10.2348484848,0.816142647392,7.0795990566,5.87836791576,0.923374598303,0.913471501856,0.438809286323,6.75471698113,31
3102,20.0,11.25,0.843062440885,5.23907455013,4.89400458979,1.4921437964,1.57412293159,0.476007311558,8.81818181818,31
3201,13.0437487256,2.93481803403,1.7106559652,10.7548810723,8.60786314526,1.60828033481,1.686513827,3.41066511971,10.3166666667,32
3202,9.67016067517,2.70817004073,1.82493675531,10.1818927262,8.34791615028,1.59346753456,1.60426182083,0.715738018368,10.1186440678,32
3203,9.20817172624,2.3686472663,1.58681174714,9.4682706355,7.51728034655,1.25929870686,1.2586981831,0.595761128676,9.57754010695,32
3204,12.0142882182,1.48571927142,1.32711477779,7.95579029734,6.91409651669,1.03270307971,1.05444835316,4.97520271103,9.0,32
3206,18.707865544,2.82609715791,1.31334451549,8.62669094693,7.27498469364,1.33169513851,1.41145955885,0.743190124469,8.71428571429,32
